category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
A,V1,channel1,18.0422,29.4769,15.0665,14.0865
A,V1,channel2,18.0511,29.4432,15.0613,14.0684
A,V1,channel3,18.0246,29.4804,15.0412,14.0538
A,V1,channel1,18.0296,29.4682,15.0251,14.0366
A,V1,channel2,18.0276,29.4663,15.0371,14.0385
A,V1,channel3,18.0534,29.3919,14.9994,14.0058
A,V1,channel1,18.0405,29.438,15.0127,14.0236
A,V1,channel2,18.0294,29.4716,15.0391,14.0516
A,V1,channel3,18.0336,29.4665,15.0435,14.0445
A,V1,channel1,18.0456,29.4555,15.0583,14.0673
A,V1,channel2,18.0097,29.5238,15.0681,14.0814
A,V1,channel3,18.0291,29.4615,15.0318,14.0381
A,V1,channel1,18.0314,29.4593,15.0342,14.0396
A,V1,channel2,18.048,29.4129,15.0075,14.004
A,V1,channel3,18.0337,29.4485,15.0179,14.022
A,V1,channel1,18.0154,29.509,15.0568,14.0695
A,V1,channel2,18.0316,29.4668,15.0421,14.052
A,V1,channel3,18.0374,29.4483,15.0476,14.0686
A,V1,channel1,18.0288,29.4631,15.0258,14.043
A,V1,channel2,18.033,29.4579,15.0337,14.0428
A,V1,channel3,18.0321,29.4584,15.0404,14.0555
A,V1,channel1,18.0317,29.4522,15.0352,14.0467
A,V1,channel2,18.0318,29.4617,15.0365,14.0668
A,V1,channel3,18.0617,29.3711,14.9874,13.9957
B,V1,channel1,18.0517,29.4128,15.0085,14.0175
B,V1,channel2,18.0399,29.4324,15.0191,14.0333
B,V1,channel3,18.0372,29.4391,15.0268,14.0319
B,V1,channel1,18.0403,29.43,15.0176,14.0306
B,V1,channel2,18.0253,29.4673,15.0347,14.0516
B,V1,channel3,18.0276,29.4665,15.0446,14.0568
B,V1,channel1,18.033,29.45,15.0221,14.0369
B,V1,channel2,18.0685,29.3534,14.9867,13.9976
B,V1,channel3,18.061,29.3744,14.9782,13.987
B,V1,channel1,18.0336,29.452,15.0329,14.042
B,V1,channel2,18.0273,29.4689,15.0312,14.0411
B,V1,channel3,18.033,29.4567,15.0229,14.0423
B,V1,channel1,18.0476,29.4166,15.0132,14.0199
B,V1,channel2,18.0179,29.4962,15.0484,14.0649
B,V1,channel3,18.0474,29.4542,15.056,14.0684
B,V1,channel1,18.0357,29.4481,15.0275,14.0396
B,V1,channel2,18.0324,29.4437,15.0203,14.0603
B,V1,channel3,18.0277,29.4665,15.041,14.0499
B,V1,channel1,18.0552,29.3963,14.9948,14.0051
B,V1,channel2,18.0603,29.3876,14.9893,13.9938
B,V1,channel3,18.0547,29.4366,15.0428,14.0497
B,V1,channel1,18.0467,29.4519,15.0541,14.0537
B,V1,channel2,18.0458,29.4148,14.9987,14.0115
B,V1,channel3,18.0459,29.4565,15.0637,14.0688
B,V1,channel1,18.0259,29.4768,15.0404,14.0539
B,V1,channel2,18.0363,29.4534,15.0235,14.042
B,V2,channel3,18.0438,29.4584,15.0623,14.0644
B,V2,channel1,18.0438,29.454,15.0614,14.0657
B,V2,channel2,18.0315,29.4576,15.0376,14.0438
B,V2,channel3,18.0338,29.4565,15.0327,14.041
B,V2,channel1,18.035,29.4552,15.0338,14.0384
B,V2,channel2,18.0363,29.4537,15.0334,14.0333
B,V2,channel3,18.0457,29.4355,15.0237,14.0187
B,V2,channel1,18.0336,29.4561,15.0386,14.0378
B,V2,channel2,18.0333,29.4533,15.0294,14.0355
B,V2,channel3,18.0456,29.4458,15.0569,14.0752
B,V2,channel1,18.0451,29.4315,15.022,14.0196
B,V2,channel2,18.039,29.4457,15.0226,14.0276
B,V2,channel3,18.0269,29.4657,15.0329,14.032
B,V2,channel1,18.0373,29.4533,15.0249,14.0303
B,V2,channel2,18.0367,29.4436,15.0189,14.0173
B,V2,channel3,18.0373,29.4444,15.0173,14.0205
B,V2,channel1,18.0325,29.467,15.0333,14.0311
B,V2,channel2,18.0366,29.4509,15.0285,14.0317
B,V2,channel3,18.0333,29.457,15.0404,14.0417
B,V2,channel1,18.0339,29.4444,15.0228,14.0228
B,V2,channel2,18.0307,29.4673,15.041,14.0425
B,V2,channel3,18.0322,29.459,15.0343,14.0438
